Date : 2024-04-17 14:30:50
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework
Total : 331 files,  30927 codes, 21404 comments, 6514 blanks, all 58845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        330 |     30,913 |     21,404 |      6,514 |     58,831 |
| UnityAssemblyDefinition |          1 |         14 |          0 |          0 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkConnectedEventArgs.cs                                    | C#                      |         33 |         27 |          6 |         66 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkCustomErrorEventArgs.cs                                  | C#                      |         33 |         27 |          6 |         66 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkErrorCode.cs                                             | C#                      |         15 |         36 |         10 |         61 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkErrorEventArgs.cs                                        | C#                      |         50 |         35 |          9 |         94 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.ConnectState.cs                                  | C#                      |         31 |          6 |          6 |         43 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.HeartBeatState.cs                                | C#                      |         46 |          6 |          7 |         59 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.NetworkChannelBase.cs                            | C#                      |        462 |         95 |         80 |        637 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.ReceiveState.cs                                  | C#                      |         78 |          6 |         15 |         99 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.SendState.cs                                     | C#                      |         52 |          6 |         10 |         68 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.TcpNetworkChannel.cs                             | C#                      |        231 |         23 |         37 |        291 |
